ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace
Create: depth = 10

2026-01-02T09:48:52+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Box::RayIntersectedFirst<0>/100                           0.779 us        0.767 us       896000
Benchmarks::Box::RayIntersectedFirst<0>/1000                           2.13 us         2.15 us       320000
Benchmarks::Box::RayIntersectedFirst<0>/10000                          9.88 us         9.84 us        74667
Benchmarks::Box::RayIntersectedFirst<0>/100000                         90.4 us         90.7 us         8960
Benchmarks::Box::RayIntersectedFirst<1>/100                           0.857 us        0.858 us       746667
Benchmarks::Box::RayIntersectedFirst<1>/1000                           1.82 us         1.80 us       407273
Benchmarks::Box::RayIntersectedFirst<1>/10000                          5.36 us         5.44 us       112000
Benchmarks::Box::RayIntersectedFirst<1>/100000                         26.3 us         26.2 us        28000
Benchmarks::Box::RayIntersectedAll<0>/100                             0.668 us        0.670 us      1120000
Benchmarks::Box::RayIntersectedAll<0>/1000                             1.93 us         1.93 us       373333
Benchmarks::Box::RayIntersectedAll<0>/10000                            10.6 us         10.7 us        64000
Benchmarks::Box::RayIntersectedAll<0>/100000                            105 us          105 us         7467
Benchmarks::Box::RayIntersectedAll<1>/100                             0.798 us        0.802 us       896000
Benchmarks::Box::RayIntersectedAll<1>/1000                             1.68 us         1.69 us       407273
Benchmarks::Box::RayIntersectedAll<1>/10000                            6.53 us         6.45 us        89600
Benchmarks::Box::RayIntersectedAll<1>/100000                           48.1 us         48.1 us        14933
