ethalon 5058b3090c8b88e405fe2bfddd6c1c872f2b79d2 + oversized modelspace

2026-01-02T09:37:46+01:00
Running G:\!Development\!GitHubPublished\Octree\benchmarks\automatic\build\Release\benchmarks.exe
Run on (12 X 3693 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 512 KiB (x6)
  L3 Unified 32768 KiB (x1)
---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/10000          992 us          977 us          640
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/100000        8932 us         8958 us           75
Benchmarks::Box::Create_OversizedModelspace<3, 1, false>/1000000     100048 us        98214 us            7
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/10             1.86 us         1.76 us       373333
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/20             3.24 us         2.98 us       235789
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/50             8.91 us         8.89 us        89600
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/100            16.4 us         14.3 us        44800
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/1000           85.6 us         71.1 us         7467
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/10000           828 us          820 us          896
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/100000         6306 us         6278 us          112
Benchmarks::Box::Create_OversizedModelspace<3, 1, true>/1000000       71194 us        71181 us            9
Benchmarks::Box::InsertToLeaf<0>/10                                    2.16 us         2.15 us       320000
Benchmarks::Box::InsertToLeaf<0>/20                                    3.27 us         3.35 us       224000
Benchmarks::Box::InsertToLeaf<0>/50                                    6.15 us         6.14 us       112000
Benchmarks::Box::InsertToLeaf<0>/100                                   9.89 us         10.0 us        74667
Benchmarks::Box::InsertToLeaf<0>/1000                                   104 us          103 us         6400
Benchmarks::Box::InsertToLeaf<0>/10000                                  849 us          854 us          896
Benchmarks::Box::InsertToLeaf<1>/10                                    6.13 us         6.14 us       112000
Benchmarks::Box::InsertToLeaf<1>/20                                    10.4 us         10.5 us        74667
Benchmarks::Box::InsertToLeaf<1>/50                                    20.7 us         20.5 us        32000
Benchmarks::Box::InsertToLeaf<1>/100                                   33.2 us         33.5 us        22400
Benchmarks::Box::InsertToLeaf<1>/1000                                   379 us          377 us         1867
Benchmarks::Box::InsertToLeaf<1>/10000                                 2706 us         2698 us          249
Benchmarks::Box::InsertWithRebalancing<0>/10                          0.976 us        0.984 us       746667
Benchmarks::Box::InsertWithRebalancing<0>/20                           2.37 us         2.35 us       298667
Benchmarks::Box::InsertWithRebalancing<0>/50                           4.08 us         4.08 us       172308
Benchmarks::Box::InsertWithRebalancing<0>/100                          12.5 us         12.6 us        56000
Benchmarks::Box::InsertWithRebalancing<0>/1000                          735 us          739 us         1120
Benchmarks::Box::InsertWithRebalancing<0>/10000                       72910 us        72917 us            9
Benchmarks::Box::InsertWithRebalancing<1>/10                          0.965 us        0.952 us       640000
Benchmarks::Box::InsertWithRebalancing<1>/20                           2.60 us         2.55 us       263529
Benchmarks::Box::InsertWithRebalancing<1>/50                           4.62 us         4.65 us       154483
Benchmarks::Box::InsertWithRebalancing<1>/100                          15.9 us         15.7 us        40727
Benchmarks::Box::InsertWithRebalancing<1>/1000                          663 us          656 us         1120
Benchmarks::Box::InsertWithRebalancing<1>/10000                       49799 us        48295 us           11
Benchmarks::Box::Update<0>/10                                         0.837 us        0.854 us       896000 items_per_second=11.7029M/s
Benchmarks::Box::Update<0>/20                                          1.59 us         1.60 us       448000 items_per_second=12.4661M/s
Benchmarks::Box::Update<0>/50                                          3.83 us         3.84 us       179200 items_per_second=13.0327M/s
Benchmarks::Box::Update<0>/100                                         7.61 us         7.67 us        89600 items_per_second=13.0327M/s
Benchmarks::Box::Update<0>/1000                                        80.0 us         79.5 us         7467 items_per_second=12.576M/s
Benchmarks::Box::Update<0>/10000                                    1447117 us      1453125 us            1 items_per_second=6.88172k/s
Benchmarks::Box::Update<1>/10                                          1.88 us         1.88 us       373333 items_per_second=5.30962M/s
Benchmarks::Box::Update<1>/20                                          5.99 us         6.00 us       112000 items_per_second=3.33395M/s
Benchmarks::Box::Update<1>/50                                          25.8 us         25.7 us        28000 items_per_second=1.94783M/s
Benchmarks::Box::Update<1>/100                                          109 us          110 us         6400 items_per_second=910.222k/s
Benchmarks::Box::Update<1>/1000                                       10512 us        10625 us           75 items_per_second=94.1176k/s
Benchmarks::Box::Update<1>/10000                                    1176775 us      1171875 us            1 items_per_second=8.53333k/s
Benchmarks::Box::PickSearch<0>/100                                      116 ns          117 ns      6400000
Benchmarks::Box::PickSearch<0>/1000                                     182 ns          180 ns      3733333
Benchmarks::Box::PickSearch<0>/10000                                    840 ns          837 ns       746667
Benchmarks::Box::PickSearch<0>/100000                                 14136 ns        14125 ns        49778
Benchmarks::Box::PickSearch<1>/100                                      110 ns          110 ns      6400000
Benchmarks::Box::PickSearch<1>/1000                                     141 ns          141 ns      4977778
Benchmarks::Box::PickSearch<1>/10000                                    452 ns          455 ns      1544828
Benchmarks::Box::PickSearch<1>/100000                                  7476 ns         7324 ns        89600
Benchmarks::Box::RangeSearch<0>/100                                    81.8 ns         79.5 ns      7466667
Benchmarks::Box::RangeSearch<0>/1000                                    147 ns          148 ns      5600000
Benchmarks::Box::RangeSearch<0>/10000                                   810 ns          820 ns       896000
Benchmarks::Box::RangeSearch<0>/100000                                15308 ns        15381 ns        49778
Benchmarks::Box::RangeSearch<1>/100                                    81.3 ns         79.5 ns      7466667
Benchmarks::Box::RangeSearch<1>/1000                                    137 ns          138 ns      4977778
Benchmarks::Box::RangeSearch<1>/10000                                   877 ns          872 ns       896000
Benchmarks::Box::RangeSearch<1>/100000                                13460 ns        13497 ns        49778
Benchmarks::Box::FrustumCulling<0>/1000                                1.73 us         1.73 us       407273
Benchmarks::Box::FrustumCulling<0>/10000                               11.3 us         11.2 us        64000
Benchmarks::Box::FrustumCulling<1>/1000                                1.66 us         1.65 us       407273
Benchmarks::Box::FrustumCulling<1>/10000                               11.2 us         10.9 us        56000
Benchmarks::Box::CollisionDetection<0, false>/100                      2.07 us         2.09 us       344615
Benchmarks::Box::CollisionDetection<0, false>/1000                     67.8 us         68.0 us         8960
Benchmarks::Box::CollisionDetection<0, false>/10000                    5017 us         5022 us          112
Benchmarks::Box::CollisionDetection<0, false>/100000                 308877 us       304688 us            2
Benchmarks::Box::CollisionDetection<0, true>/100                       2.38 us         2.35 us       298667
Benchmarks::Box::CollisionDetection<0, true>/1000                      42.8 us         36.3 us        17231
Benchmarks::Box::CollisionDetection<0, true>/10000                     1475 us         1475 us          498
Benchmarks::Box::CollisionDetection<0, true>/100000                  116956 us       117188 us            6
Benchmarks::Box::CollisionDetection<1, false>/100                      5.80 us         5.86 us       112000
Benchmarks::Box::CollisionDetection<1, false>/1000                      136 us          135 us         4978
Benchmarks::Box::CollisionDetection<1, false>/10000                   10988 us        10742 us           64
Benchmarks::Box::CollisionDetection<1, false>/100000                 764070 us       765625 us            1
Benchmarks::Box::CollisionDetection<1, true>/100                       6.21 us         6.28 us       112000
Benchmarks::Box::CollisionDetection<1, true>/1000                      67.3 us         58.6 us        11200
Benchmarks::Box::CollisionDetection<1, true>/10000                     2589 us         2486 us          264
Benchmarks::Box::CollisionDetection<1, true>/100000                  192533 us       195312 us            4
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/100               8.65 us         8.58 us        74667
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/1000               417 us          414 us         1659
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/10000            22667 us        22396 us           30
Benchmarks::Box::CollisionDetection_WithOtherTree<0>/100000         2302088 us      2296875 us            1
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/100               15.5 us         15.7 us        44800
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/1000               511 us          502 us         1120
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/10000            23413 us        22879 us           28
Benchmarks::Box::CollisionDetection_WithOtherTree<1>/100000         1656120 us      1671875 us            1
Benchmarks::Box::RayIntersectedFirst<0>/100                           0.780 us        0.785 us       896000
Benchmarks::Box::RayIntersectedFirst<0>/1000                           2.13 us         2.13 us       344615
Benchmarks::Box::RayIntersectedFirst<0>/10000                          9.92 us         9.84 us        74667
Benchmarks::Box::RayIntersectedFirst<0>/100000                         90.2 us         87.9 us         7467
Benchmarks::Box::RayIntersectedFirst<1>/100                           0.863 us        0.872 us       896000
Benchmarks::Box::RayIntersectedFirst<1>/1000                           1.82 us         1.81 us       344615
